,Sum log-adjP-values,adjP-values,Category
Pfn1,-252.67342962663227,"[1.1783925115594871e-10, 1e-10, 0.0009059477409261921, 1e-10, 3.587654408793991e-10, 1e-10, 7.254668829998156e-05, 1e-10, 1e-10, 1e-10, 1e-10, 1.333218423820492e-05, 1.3817006108456517e-05, 1e-10, 0.019258720180083688, 1e-10, 1e-10, 0.6835753453016775, 0.0012058069614152276, 1e-10, 1e-10, 1e-10, 0.007184804418326729, 0.041186232340545505, 0.9634225948655436, 0.010353923912355912, 0.0032823987214217524, 0.5194160459867597, 1e-10, 1e-10, 1e-10, 1e-10, 0.0005187363642093481, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl19,-252.35745191810042,"[1e-10, 1e-10, 0.34427934327307436, 1e-10, 1e-10, 1e-10, 0.03028760428309514, 1e-10, 1e-10, 1e-10, 0.20278339029736003, 0.022628559482712172, 0.7644215858386215, 0.5177294489200848, 0.002232818498373872, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.3223812080543382e-05, 0.0018973335095986408, 1.3326788872128362e-07, 0.7013781702129843, 0.8977287162042372, 1e-10, 1e-10, 1e-10, 1e-10, 0.4932538090996286, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps3,-251.3820199048755,"[1e-10, 1e-10, 0.052461985733124765, 1e-10, 1e-10, 1e-10, 0.31412529725344956, 1e-10, 1e-10, 1e-10, 0.38221986270070907, 1e-10, 0.6997932167193903, 0.8440629794125223, 0.515223158104511, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 6.675700256062131e-05, 1e-10, 0.2549697090923206, 2.532971369019816e-06, 8.189191588051053e-08, 0.13423279185195597, 0.9494310166010935, 1e-10, 1e-10, 1e-10, 1e-10, 0.4810613674232852, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl18a,-250.97906438269823,"[1e-10, 5.624622738384345e-09, 0.35594068463447437, 1e-10, 1e-10, 1e-10, 0.03964098386208272, 1e-10, 1e-10, 1e-10, 0.9730274321252717, 5.921931071926722e-09, 0.53432394095356, 0.2116348557500324, 1.2114806051345791e-08, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.4805528000901932, 5.616198191504556e-07, 1e-10, 0.0009148791304996869, 1.005747730326061e-06, 1e-10, 1.3542481647961259e-05, 0.5030874683642983, 1e-10, 1e-10, 1e-10, 1e-10, 0.3236957858929212, 1e-10, 0.003058498798244578, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl13a,-250.26808258527683,"[8.20189449988611e-10, 1e-10, 0.9413359391777735, 1e-10, 1e-10, 1e-10, 0.21072877086653213, 1e-10, 1e-10, 1e-10, 0.38993571553256484, 0.8965244947549003, 0.7053828729978188, 0.3906383553493111, 1.758301285705342e-07, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 6.947308333885572e-09, 1e-10, 0.0027092142842365763, 0.04089553284916095, 1e-10, 0.2534987658084462, 0.5216343004657701, 1e-10, 1e-10, 1e-10, 1e-10, 0.7323960562218911, 1e-10, 2.6258064471491485e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl38,-250.16119041897164,"[0.003046344253348685, 4.82724861699192e-09, 0.0003799509082777723, 1e-10, 1e-10, 1e-10, 0.37838670506219224, 1e-10, 1e-10, 0.004974954136667872, 1e-10, 1e-10, 3.664501006366028e-07, 0.9957900055816065, 0.7196652712162449, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.017749912054922726, 0.2584129959744976, 5.202506155249945e-06, 0.006938300025837183, 0.14839354166347446, 4.517696434451701e-07, 1e-10, 1e-10, 1e-10, 0.760602325220289, 1e-10, 2.958689663806865e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps24,-249.2511461675695,"[1.3555978220577685e-10, 1e-10, 0.45721047066911863, 1e-10, 1e-10, 1e-10, 0.07457719050776629, 1e-10, 1e-10, 2.5253878355634366e-06, 0.8139459766503825, 5.984749253804503e-08, 0.8408862144791648, 0.11988898523098754, 0.7730283825423454, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.0468197806254288e-08, 1e-10, 1.0731985757978317e-06, 0.0438736225317343, 1e-10, 1.456697751222131e-07, 0.5741426760021103, 1e-10, 1e-10, 5.214794854255484e-06, 1e-10, 0.0919961127087789, 1e-10, 6.399819368289976e-06, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Tmsb4x,-248.62321532352382,"[2.4073991706209876e-06, 1.0446843765033676e-10, 0.036312264841887765, 1e-10, 1e-10, 8.714672425747284e-06, 1e-10, 1e-10, 1e-10, 1e-10, 0.30296416953080635, 0.008951523793223563, 0.002549112123155528, 0.09861729464355665, 1.5255197634935945e-06, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.8219224837609683, 0.04442288038772284, 0.0005777760404809893, 1e-10, 1e-10, 0.8956711631676776, 0.17443729493174262, 1e-10, 1e-10, 1e-10, 1e-10, 0.018786134787868357, 1e-10, 4.645970969701086e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps9,-247.850705975898,"[4.7339275051745444e-07, 1e-10, 0.9947589301449885, 1e-10, 1e-10, 1e-10, 0.49847730639766885, 1e-10, 1e-10, 1e-10, 5.559742422826333e-05, 1e-10, 0.027633994900899583, 0.9954958948235849, 0.8932178274320557, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 5.473541996028793e-10, 1e-10, 0.05899026959877746, 0.0056453956526442955, 1e-10, 0.9329744996430019, 0.012937438720651005, 1e-10, 1e-10, 1e-10, 1e-10, 0.5566760354350522, 1e-10, 0.35904605351837404, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl10,-246.94521930085313,"[1.272432902779751e-08, 7.317266365473931e-07, 0.0164968024553937, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.00029463565770511825, 3.155822714380933e-10, 0.8279781677401838, 0.034912804826508624, 9.192374909918477e-06, 5.5566360566643735e-06, 1e-10, 1e-10, 0.002796931892068973, 2.569205711333208e-10, 0.7640881689681419, 1e-10, 1e-10, 0.028508634298707272, 0.00024324915147652454, 1e-10, 0.5654250075497367, 0.26855902376728685, 1e-10, 1e-10, 1e-10, 1e-10, 0.5397782432000251, 1e-10, 1.7237482172417668e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rplp2,-245.95847894313036,"[1e-10, 1e-10, 0.008092686959498694, 1e-10, 1e-10, 1e-10, 0.5010409343399101, 1e-10, 1e-10, 2.0680135648999636e-08, 0.7447577157095402, 0.00020010593774455563, 0.6825725693171625, 0.33682631583209255, 0.01155753496698416, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.019735408045557297, 1e-10, 0.0008554750122544197, 0.025432127938656363, 1e-10, 0.023801746248203397, 0.14499322284113528, 1e-10, 1e-10, 1e-10, 1e-10, 0.2236217346191334, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps10,-245.88975521402634,"[1e-10, 1e-10, 0.9758279115296646, 1e-10, 1e-10, 1e-10, 0.5992508082175693, 1e-10, 1e-10, 1e-10, 1.839249108446686e-06, 1e-10, 0.05487383740427828, 0.8538677640441995, 0.5512417179393853, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.6183266017354, 1e-10, 0.0011449482267191179, 0.258486340716359, 1e-10, 0.1141925163101906, 0.7736408529743126, 1e-10, 1e-10, 1e-10, 1e-10, 0.6970725082091118, 1e-10, 0.00041174465309253905, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl21,-245.5917663162915,"[1.0303523343603299e-10, 1e-10, 0.7525799887667227, 1e-10, 1e-10, 1e-10, 0.4223073705233652, 1e-10, 1e-10, 1e-10, 0.0031950781181706907, 0.755131468883655, 0.7565963874421734, 0.7834520672229137, 0.00012485006141944836, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.0422288174351928e-05, 0.38394758424454956, 1e-10, 0.6931963832211008, 0.3431828470954113, 0.0009226178696090177, 1e-10, 1e-10, 1e-10, 0.6676764163830626, 1e-10, 7.466074453641283e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Beta-s,-245.39587155963608,"[2.302479811219543e-05, 0.16376398984454962, 7.720232364011602e-10, 0.0018685541870779622, 1e-10, 0.0020264478486192615, 0.10154117317218059, 0.0018013660660117588, 0.25245685588203115, 0.4510365445923342, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.1881971063612201, 0.5138493070634428, 1e-10, 3.9218462902589384e-09, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.6678374582251363, 1e-10, 1e-10, 1e-10, 1e-10, 0.07805245966952282, 1e-10, 0.8855294130463885, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rplp0,-244.97104568363721,"[1e-10, 1e-10, 1.626532450641703e-10, 1e-10, 1e-10, 1e-10, 0.7636679239250629, 1.8696188030360306e-05, 1e-10, 1e-10, 0.7214620876381728, 1e-10, 0.32183645887215057, 0.2977137712339404, 0.2675968464496722, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.25568100813127376, 0.005148824214918344, 1e-10, 0.5646271556426392, 0.2848067965201956, 0.001854895223439869, 1e-10, 1e-10, 1e-10, 0.4978192561658692, 1e-10, 0.012729037828582625, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
