,R_squared
mesenchymal stem cell,0.6895317660550669
endothelial cell,0.6613230848019432
macrophage,0.28227381102461446
skeletal muscle satellite cell,0.812171995741706
smooth muscle cell,0.6867426096286283
T cell,0.7396696271880534
B cell,0.9121641120363614
