,R_squared
granulocytopoietic cell (test),0.1743640717750482
hematopoietic precursor cell (test),0.5105238533635345
granulocyte (test),0.6734860346374365
promonocyte (test),0.7275749636617206
monocyte (test),0.8869326780459018
naïve T cell (test),0.7268913198797967
megakaryocyte-erythroid progenitor cell (test),0.7290505171408519
proerythroblast (test),0.47074916796790295
erythroblast (test),0.9057886573700855
