,R_squared
fenestrated cell,0.92730451656429
epithelial cell of proximal tubule,0.5569669036126567
macrophage,0.49257857245262254
proximal convoluted tubule epithelial cell,0.8047842122317758
loop of Henle thick ascending limb epithelial cell,0.7818395048280746
