,R_squared
mesenchymal stem cell,0.6807022918380298
endothelial cell,0.6613230848019432
macrophage,0.27668358004657306
skeletal muscle satellite cell,0.801806951313862
smooth muscle cell,0.6914510670635897
T cell,0.7515455843978497
B cell,0.911121646033365
