,R_squared
granulocytopoietic cell,0.19142521363451237
hematopoietic precursor cell,0.5049114235184157
granulocyte,0.6462817022236051
promonocyte,0.7023054196625006
monocyte,0.886690019271747
naïve T cell,0.7208919737442188
megakaryocyte-erythroid progenitor cell,0.7188017263759174
proerythroblast,0.45237418066049767
erythroblast,0.9084061401059621
