,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
49528,30m,Smox,8.828227,2.9127915,1.0634782768953524e-18,2.543254354644958e-16,Limb-Muscle_T cell
49662,30m,Kcnk1,4.3513274,2.8595293,1.3531589582705426e-05,0.0006307479087689893,Limb-Muscle_T cell
49524,30m,Ikzf3,8.951282,2.8550768,3.5137980096817687e-19,9.827318806399807e-17,Limb-Muscle_T cell
49510,30m,Cxcr6,10.417855,2.7335942,2.0553625157328672e-25,2.1197210545067528e-22,Limb-Muscle_T cell
1,1m,Sparc,14.407341,2.7152662,4.652808856817795e-47,3.838799947317521e-43,Limb-Muscle_T cell
49618,30m,Blk,5.2387915,2.6903408,1.6163150903856482e-07,9.9148012291649e-06,Limb-Muscle_T cell
49515,30m,Tmem176a,9.670536,2.6466029,4.022669297706988e-22,2.4584468919060376e-19,Limb-Muscle_T cell
30,1m,Itm2a,7.8632627,2.5552373,3.742547548359338e-15,1.1876110979899508e-12,Limb-Muscle_T cell
6,1m,Igfbp4,10.030017,2.2610955,1.124976581341688e-23,1.6875671426108357e-20,Limb-Muscle_T cell
199,1m,Atp1b1,3.8665752,2.2569904,0.0001103744147795974,0.005017322915366768,Limb-Muscle_T cell
208,1m,Bambi-ps1,3.7401423,2.0858495,0.00018391613455246924,0.007841860817184224,Limb-Muscle_T cell
148,1m,Pik3ip1,4.7756886,1.9880216,1.790932508243212e-06,0.0001149890168035846,Limb-Muscle_T cell
144,1m,Tspan32,4.919849,1.8492289,8.661096609097624e-07,5.809624192956093e-05,Limb-Muscle_T cell
16504,18m,Hspa1b,4.985261,1.1365192,6.187817396166478e-07,0.002552629371353576,Limb-Muscle_T cell
33003,24m,Tnfrsf18,4.3298864,1.0206153,1.491861152492656e-05,0.04325687298104708,Limb-Muscle_T cell
16554,18m,Cd8b1,3.8339005,0.98298144,0.00012612725379314185,0.03288630353775439,Limb-Muscle_T cell
33002,24m,Zc3hav1,4.5238886,0.9635873,6.071363293388852e-06,0.03339452190140315,Limb-Muscle_T cell
16549,18m,Hsph1,3.8835993,0.9456117,0.00010292143742288035,0.029493759719803257,Limb-Muscle_T cell
33004,24m,Prr13,4.284073,0.7600835,1.8350288519927854e-05,0.04325687298104708,Limb-Muscle_T cell
16508,18m,Jun,4.762133,0.7589678,1.9155713673838066e-06,0.0035893898620589205,Limb-Muscle_T cell
16522,18m,Mrpl52,4.3759303,0.71882904,1.2091561055002906e-05,0.007728789675183135,Limb-Muscle_T cell
16557,18m,Trmt112,3.8135376,0.705333,0.0001369916977783685,0.03425000007637665,Limb-Muscle_T cell
16506,18m,Hspa1a,4.8458276,0.6942757,1.260848573605977e-06,0.0034675437188453713,Limb-Muscle_T cell
16536,18m,Hspd1,4.0730767,0.65643257,4.639609252722618e-05,0.01963030571260921,Limb-Muscle_T cell
16511,18m,Dnajb1,4.6780934,0.63675827,2.895544326127682e-06,0.00428865646610419,Limb-Muscle_T cell
16528,18m,Eif3m,4.2075057,0.56355655,2.5820467624073168e-05,0.014094404614511209,Limb-Muscle_T cell
49500,24m,Igfbp4,-4.4507375,-1.534063,8.557595222909702e-06,0.03530221969330825,Limb-Muscle_T cell
49501,24m,Sparc,-6.381709,-2.068157,1.7512229661790383e-10,1.4448465082460155e-06,Limb-Muscle_T cell
49499,24m,Col3a1,-4.286335,-2.589148,1.81644887337347e-05,0.04325687298104708,Limb-Muscle_T cell
