,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Btrc,-0.065656149,0.021502731,Limb-Muscle_skeletal muscle satellite cell,0.065656149
Xrcc1,-0.065655589,0.021503847,Limb-Muscle_skeletal muscle satellite cell,0.065655589
Zfp101,-0.065643093,0.021528759,Limb-Muscle_skeletal muscle satellite cell,0.065643093
Cdkn2b,-0.065635521,0.021543867,Limb-Muscle_skeletal muscle satellite cell,0.065635521
Cecr2,-0.065616889,0.021581081,Limb-Muscle_skeletal muscle satellite cell,0.065616889
Inhbb,0.065607846,0.021599163,Limb-Muscle_skeletal muscle satellite cell,0.065607846
Tmem50b,-0.065581246,0.021652428,Limb-Muscle_skeletal muscle satellite cell,0.065581246
2010003O02Rik,-0.065576163,0.021662618,Limb-Muscle_skeletal muscle satellite cell,0.065576163
Ube2v2,-0.065575273,0.021664404,Limb-Muscle_skeletal muscle satellite cell,0.065575273
Ctnnb1,-0.065527133,0.021761137,Limb-Muscle_skeletal muscle satellite cell,0.065527133
Ccnj,-0.065514782,0.021786016,Limb-Muscle_skeletal muscle satellite cell,0.065514782
Rab3ip,-0.065510135,0.021795383,Limb-Muscle_skeletal muscle satellite cell,0.065510135
Fem1a,-0.06548404,0.021848047,Limb-Muscle_skeletal muscle satellite cell,0.06548404
Coil,-0.06547994,0.021856332,Limb-Muscle_skeletal muscle satellite cell,0.06547994
H2afy3,-0.065477233,0.021861802,Limb-Muscle_skeletal muscle satellite cell,0.065477233
Atl2,-0.065469577,0.021877284,Limb-Muscle_skeletal muscle satellite cell,0.065469577
Kdm5d,-0.06545774,0.021901236,Limb-Muscle_skeletal muscle satellite cell,0.06545774
Nup107,-0.0654314,0.02195462,Limb-Muscle_skeletal muscle satellite cell,0.0654314
Evc,0.065423424,0.021970809,Limb-Muscle_skeletal muscle satellite cell,0.065423424
Ms4a4b,-0.065415847,0.021986194,Limb-Muscle_skeletal muscle satellite cell,0.065415847
Pfkfb2,-0.065412419,0.021993159,Limb-Muscle_skeletal muscle satellite cell,0.065412419
Nup210,-0.065398896,0.022020653,Limb-Muscle_skeletal muscle satellite cell,0.065398896
Zfp609,-0.065386409,0.022046066,Limb-Muscle_skeletal muscle satellite cell,0.065386409
Lmnb1,-0.065349954,0.022120405,Limb-Muscle_skeletal muscle satellite cell,0.065349954
Crnkl1,-0.065343804,0.022132967,Limb-Muscle_skeletal muscle satellite cell,0.065343804
Klf10,-0.065340869,0.022138964,Limb-Muscle_skeletal muscle satellite cell,0.065340869
Atf6b,-0.065337486,0.02214588,Limb-Muscle_skeletal muscle satellite cell,0.065337486
Vac14,-0.06530965,0.022202844,Limb-Muscle_skeletal muscle satellite cell,0.06530965
BC002163,-0.065303862,0.022214705,Limb-Muscle_skeletal muscle satellite cell,0.065303862
Gas7,0.065298348,0.02222601,Limb-Muscle_skeletal muscle satellite cell,0.065298348
Lyz2,0.065294674,0.022233545,Limb-Muscle_skeletal muscle satellite cell,0.065294674
Ppp1r8,-0.065274,0.022275987,Limb-Muscle_skeletal muscle satellite cell,0.065274
Arsb,-0.065273288,0.022277452,Limb-Muscle_skeletal muscle satellite cell,0.065273288
C130074G19Rik,0.065249616,0.022326137,Limb-Muscle_skeletal muscle satellite cell,0.065249616
Serinc2,-0.065230738,0.02236503,Limb-Muscle_skeletal muscle satellite cell,0.065230738
Zbtb16,0.065228752,0.022369126,Limb-Muscle_skeletal muscle satellite cell,0.065228752
Fem1b,-0.065228618,0.0223694,Limb-Muscle_skeletal muscle satellite cell,0.065228618
Rybp,-0.06522746,0.022371789,Limb-Muscle_skeletal muscle satellite cell,0.06522746
Xaf1,0.065219244,0.022388739,Limb-Muscle_skeletal muscle satellite cell,0.065219244
Ppcdc,-0.065215005,0.022397487,Limb-Muscle_skeletal muscle satellite cell,0.065215005
Epb4.1l2,-0.065208167,0.022411607,Limb-Muscle_skeletal muscle satellite cell,0.065208167
Smchd1,0.06520554,0.022417035,Limb-Muscle_skeletal muscle satellite cell,0.06520554
Fam198b,-0.065199813,0.022428869,Limb-Muscle_skeletal muscle satellite cell,0.065199813
Tmem48,-0.065192238,0.022444529,Limb-Muscle_skeletal muscle satellite cell,0.065192238
Ptgfrn,-0.065176635,0.022476819,Limb-Muscle_skeletal muscle satellite cell,0.065176635
Ppargc1b,-0.065146853,0.022538563,Limb-Muscle_skeletal muscle satellite cell,0.065146853
Pdcl3,-0.065143178,0.022546191,Limb-Muscle_skeletal muscle satellite cell,0.065143178
BC005561,-0.065117318,0.022599939,Limb-Muscle_skeletal muscle satellite cell,0.065117318
Srd5a3,-0.065112454,0.022610061,Limb-Muscle_skeletal muscle satellite cell,0.065112454
Zer1,-0.065089284,0.022658331,Limb-Muscle_skeletal muscle satellite cell,0.065089284
Prcc,-0.065072618,0.022693106,Limb-Muscle_skeletal muscle satellite cell,0.065072618
Calcrl,0.065066702,0.022705462,Limb-Muscle_skeletal muscle satellite cell,0.065066702
Ulk2,-0.065025738,0.022791175,Limb-Muscle_skeletal muscle satellite cell,0.065025738
Ephx4,-0.064994792,0.022856112,Limb-Muscle_skeletal muscle satellite cell,0.064994792
Hnrnpul2,-0.064993563,0.022858696,Limb-Muscle_skeletal muscle satellite cell,0.064993563
Ascc2,-0.064987151,0.022872171,Limb-Muscle_skeletal muscle satellite cell,0.064987151
Gatc,-0.064985501,0.02287564,Limb-Muscle_skeletal muscle satellite cell,0.064985501
Pvr,-0.064980009,0.022887189,Limb-Muscle_skeletal muscle satellite cell,0.064980009
Lama3,0.064969276,0.022909776,Limb-Muscle_skeletal muscle satellite cell,0.064969276
Vbp1,-0.064955387,0.022939032,Limb-Muscle_skeletal muscle satellite cell,0.064955387
