,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Plac9,0.669514284,3.01E-160,Limb-Muscle_skeletal muscle satellite cell,0.669514284
Col3a1,-0.644130589,1.23E-144,Limb-Muscle_skeletal muscle satellite cell,0.644130589
Malat1,0.600470822,5.32E-121,Limb-Muscle_skeletal muscle satellite cell,0.600470822
Rps27,0.597198235,2.25E-119,Limb-Muscle_skeletal muscle satellite cell,0.597198235
Col1a2,-0.592940315,2.76E-117,Limb-Muscle_skeletal muscle satellite cell,0.592940315
Mt1,0.590465386,4.37E-116,Limb-Muscle_skeletal muscle satellite cell,0.590465386
Sparc,-0.574221999,1.83E-108,Limb-Muscle_skeletal muscle satellite cell,0.574221999
Fth1,0.558722002,1.41E-101,Limb-Muscle_skeletal muscle satellite cell,0.558722002
Rps21,0.551100344,2.53E-98,Limb-Muscle_skeletal muscle satellite cell,0.551100344
Mt2,0.548163213,4.31E-97,Limb-Muscle_skeletal muscle satellite cell,0.548163213
Rpl38,0.537021815,1.58E-92,Limb-Muscle_skeletal muscle satellite cell,0.537021815
Rps19,0.532072453,1.48E-90,Limb-Muscle_skeletal muscle satellite cell,0.532072453
Rpl21,0.528780892,2.92E-89,Limb-Muscle_skeletal muscle satellite cell,0.528780892
Rps28,0.524098025,1.92E-87,Limb-Muscle_skeletal muscle satellite cell,0.524098025
Ddx5,0.51952344,1.07E-85,Limb-Muscle_skeletal muscle satellite cell,0.51952344
Rpl37,0.517527982,6.08E-85,Limb-Muscle_skeletal muscle satellite cell,0.517527982
Col1a1,-0.516341955,1.70E-84,Limb-Muscle_skeletal muscle satellite cell,0.516341955
Rpl35a,0.514981761,5.48E-84,Limb-Muscle_skeletal muscle satellite cell,0.514981761
Itm2a,-0.514538673,8.01E-84,Limb-Muscle_skeletal muscle satellite cell,0.514538673
Fau,0.509784444,4.60E-82,Limb-Muscle_skeletal muscle satellite cell,0.509784444
Rpl13a,0.508105312,1.89E-81,Limb-Muscle_skeletal muscle satellite cell,0.508105312
Rps23,0.506209984,9.26E-81,Limb-Muscle_skeletal muscle satellite cell,0.506209984
Rpl14,0.502677627,1.74E-79,Limb-Muscle_skeletal muscle satellite cell,0.502677627
Rpl37a,0.501366145,5.12E-79,Limb-Muscle_skeletal muscle satellite cell,0.501366145
Rpl9,0.500076857,1.47E-78,Limb-Muscle_skeletal muscle satellite cell,0.500076857
Rpl10,0.496602404,2.49E-77,Limb-Muscle_skeletal muscle satellite cell,0.496602404
Rps5,0.496428284,2.86E-77,Limb-Muscle_skeletal muscle satellite cell,0.496428284
B2m,0.490264457,3.97E-75,Limb-Muscle_skeletal muscle satellite cell,0.490264457
Rpl23a,0.488751029,1.31E-74,Limb-Muscle_skeletal muscle satellite cell,0.488751029
Rps4x,0.486289947,9.05E-74,Limb-Muscle_skeletal muscle satellite cell,0.486289947
Ccl19,0.485632648,1.51E-73,Limb-Muscle_skeletal muscle satellite cell,0.485632648
Rpl17,0.479672302,1.51E-71,Limb-Muscle_skeletal muscle satellite cell,0.479672302
Rps24,0.478548183,3.56E-71,Limb-Muscle_skeletal muscle satellite cell,0.478548183
Rpl19,0.478227657,4.54E-71,Limb-Muscle_skeletal muscle satellite cell,0.478227657
Rplp2,0.472991742,2.36E-69,Limb-Muscle_skeletal muscle satellite cell,0.472991742
Rps6,0.469769316,2.59E-68,Limb-Muscle_skeletal muscle satellite cell,0.469769316
Ifitm3,0.468245099,7.99E-68,Limb-Muscle_skeletal muscle satellite cell,0.468245099
Rpl8,0.466756887,2.38E-67,Limb-Muscle_skeletal muscle satellite cell,0.466756887
Rpl23,0.464668037,1.09E-66,Limb-Muscle_skeletal muscle satellite cell,0.464668037
Rpl6,0.464628195,1.13E-66,Limb-Muscle_skeletal muscle satellite cell,0.464628195
Rps15,0.463584067,2.41E-66,Limb-Muscle_skeletal muscle satellite cell,0.463584067
Rpl18,0.458163716,1.18E-64,Limb-Muscle_skeletal muscle satellite cell,0.458163716
Cebpd,0.457989771,1.34E-64,Limb-Muscle_skeletal muscle satellite cell,0.457989771
Mest,-0.456613466,3.55E-64,Limb-Muscle_skeletal muscle satellite cell,0.456613466
Rpl7,0.45621313,4.72E-64,Limb-Muscle_skeletal muscle satellite cell,0.45621313
Rps8,0.452108334,8.43E-63,Limb-Muscle_skeletal muscle satellite cell,0.452108334
Rpl39,0.451365881,1.41E-62,Limb-Muscle_skeletal muscle satellite cell,0.451365881
Rpl18a,0.448177851,1.29E-61,Limb-Muscle_skeletal muscle satellite cell,0.448177851
Rps16,0.444967808,1.16E-60,Limb-Muscle_skeletal muscle satellite cell,0.444967808
Rplp1,0.444869877,1.24E-60,Limb-Muscle_skeletal muscle satellite cell,0.444869877
H2-D1,0.444538338,1.55E-60,Limb-Muscle_skeletal muscle satellite cell,0.444538338
Rpl4,0.444137128,2.04E-60,Limb-Muscle_skeletal muscle satellite cell,0.444137128
Actg1,0.44279227,5.08E-60,Limb-Muscle_skeletal muscle satellite cell,0.44279227
Rpl27a,0.442452042,6.39E-60,Limb-Muscle_skeletal muscle satellite cell,0.442452042
Rpl24,0.442129522,7.94E-60,Limb-Muscle_skeletal muscle satellite cell,0.442129522
Rps13,0.440876093,1.85E-59,Limb-Muscle_skeletal muscle satellite cell,0.440876093
Rpl36,0.440821516,1.92E-59,Limb-Muscle_skeletal muscle satellite cell,0.440821516
H3f3b,0.440748224,2.01E-59,Limb-Muscle_skeletal muscle satellite cell,0.440748224
Rpl35,0.440249746,2.81E-59,Limb-Muscle_skeletal muscle satellite cell,0.440249746
Rps15a,0.435010601,9.16E-58,Limb-Muscle_skeletal muscle satellite cell,0.435010601
Rps17,0.43299365,3.45E-57,Limb-Muscle_skeletal muscle satellite cell,0.43299365
Uba52,0.429878896,2.62E-56,Limb-Muscle_skeletal muscle satellite cell,0.429878896
Rps14,0.427524303,1.20E-55,Limb-Muscle_skeletal muscle satellite cell,0.427524303
Rps7,0.427076668,1.59E-55,Limb-Muscle_skeletal muscle satellite cell,0.427076668
Apoe,0.425280045,5.03E-55,Limb-Muscle_skeletal muscle satellite cell,0.425280045
Rpl31,0.424860647,6.58E-55,Limb-Muscle_skeletal muscle satellite cell,0.424860647
Rps3a,0.423488227,1.57E-54,Limb-Muscle_skeletal muscle satellite cell,0.423488227
Rps25,0.421940953,4.18E-54,Limb-Muscle_skeletal muscle satellite cell,0.421940953
Rps27a,0.417686352,6.01E-53,Limb-Muscle_skeletal muscle satellite cell,0.417686352
Nfkbia,0.415011563,3.14E-52,Limb-Muscle_skeletal muscle satellite cell,0.415011563
Rpl3,0.414930322,3.31E-52,Limb-Muscle_skeletal muscle satellite cell,0.414930322
Rpl13,0.414672791,3.87E-52,Limb-Muscle_skeletal muscle satellite cell,0.414672791
Rps29,0.414397782,4.59E-52,Limb-Muscle_skeletal muscle satellite cell,0.414397782
Rpl36a,0.414256299,5.00E-52,Limb-Muscle_skeletal muscle satellite cell,0.414256299
Rpl32,0.413095957,1.02E-51,Limb-Muscle_skeletal muscle satellite cell,0.413095957
Rps9,0.41152557,2.66E-51,Limb-Muscle_skeletal muscle satellite cell,0.41152557
Col6a1,-0.40381535,2.73E-49,Limb-Muscle_skeletal muscle satellite cell,0.40381535
Hspa8,0.403014614,4.39E-49,Limb-Muscle_skeletal muscle satellite cell,0.403014614
Rps10,0.402284518,6.76E-49,Limb-Muscle_skeletal muscle satellite cell,0.402284518
Rps12,0.40214953,7.32E-49,Limb-Muscle_skeletal muscle satellite cell,0.40214953
Rps18,0.401692322,9.58E-49,Limb-Muscle_skeletal muscle satellite cell,0.401692322
Ppp1r14b,-0.395649522,3.24E-47,Limb-Muscle_skeletal muscle satellite cell,0.395649522
Rps3,0.394347837,6.85E-47,Limb-Muscle_skeletal muscle satellite cell,0.394347837
Crlf1,0.391307492,3.89E-46,Limb-Muscle_skeletal muscle satellite cell,0.391307492
Gpx3,0.388067496,2.43E-45,Limb-Muscle_skeletal muscle satellite cell,0.388067496
Rhoh,0.386846801,4.81E-45,Limb-Muscle_skeletal muscle satellite cell,0.386846801
Ndrg1,0.385339164,1.12E-44,Limb-Muscle_skeletal muscle satellite cell,0.385339164
Junb,0.385185529,1.21E-44,Limb-Muscle_skeletal muscle satellite cell,0.385185529
Igf1,-0.378837658,3.99E-43,Limb-Muscle_skeletal muscle satellite cell,0.378837658
Ppic,-0.375689892,2.19E-42,Limb-Muscle_skeletal muscle satellite cell,0.375689892
Cfh,0.374865901,3.41E-42,Limb-Muscle_skeletal muscle satellite cell,0.374865901
Btg1,0.374143051,5.02E-42,Limb-Muscle_skeletal muscle satellite cell,0.374143051
Idh2,-0.372441101,1.25E-41,Limb-Muscle_skeletal muscle satellite cell,0.372441101
Ptma,0.370222443,4.04E-41,Limb-Muscle_skeletal muscle satellite cell,0.370222443
Rpl11,0.36826665,1.13E-40,Limb-Muscle_skeletal muscle satellite cell,0.36826665
Mtap1b,0.366258435,3.22E-40,Limb-Muscle_skeletal muscle satellite cell,0.366258435
H2-Q4,0.359870427,8.63E-39,Limb-Muscle_skeletal muscle satellite cell,0.359870427
Rps20,0.356600064,4.51E-38,Limb-Muscle_skeletal muscle satellite cell,0.356600064
Pde4b,0.347528266,4.01E-36,Limb-Muscle_skeletal muscle satellite cell,0.347528266
Rps26,0.345746192,9.52E-36,Limb-Muscle_skeletal muscle satellite cell,0.345746192
Cd63,0.344104636,2.10E-35,Limb-Muscle_skeletal muscle satellite cell,0.344104636
Rpsa,0.343206968,3.23E-35,Limb-Muscle_skeletal muscle satellite cell,0.343206968
Rpl28,0.343105018,3.39E-35,Limb-Muscle_skeletal muscle satellite cell,0.343105018
Rarres2,0.341582422,7.02E-35,Limb-Muscle_skeletal muscle satellite cell,0.341582422
Rps2,0.341475806,7.39E-35,Limb-Muscle_skeletal muscle satellite cell,0.341475806
Col15a1,-0.340931932,9.57E-35,Limb-Muscle_skeletal muscle satellite cell,0.340931932
Ubc,0.339837324,1.61E-34,Limb-Muscle_skeletal muscle satellite cell,0.339837324
Col4a1,-0.338690182,2.76E-34,Limb-Muscle_skeletal muscle satellite cell,0.338690182
Id3,0.337516684,4.80E-34,Limb-Muscle_skeletal muscle satellite cell,0.337516684
Rps11,0.335586202,1.18E-33,Limb-Muscle_skeletal muscle satellite cell,0.335586202
Slc16a3,0.334141129,2.32E-33,Limb-Muscle_skeletal muscle satellite cell,0.334141129
Erh,-0.332056352,6.06E-33,Limb-Muscle_skeletal muscle satellite cell,0.332056352
Osmr,0.331208419,8.95E-33,Limb-Muscle_skeletal muscle satellite cell,0.331208419
Marcksl1,-0.329269801,2.17E-32,Limb-Muscle_skeletal muscle satellite cell,0.329269801
Acta2,-0.329206866,2.23E-32,Limb-Muscle_skeletal muscle satellite cell,0.329206866
Thy1,-0.326170663,8.81E-32,Limb-Muscle_skeletal muscle satellite cell,0.326170663
Tuba4a,0.32514777,1.39E-31,Limb-Muscle_skeletal muscle satellite cell,0.32514777
Cxcl1,0.322614665,4.32E-31,Limb-Muscle_skeletal muscle satellite cell,0.322614665
Grb10,-0.322044614,5.56E-31,Limb-Muscle_skeletal muscle satellite cell,0.322044614
H2-K1,0.32187979,5.98E-31,Limb-Muscle_skeletal muscle satellite cell,0.32187979
Hspe1,-0.317538994,4.02E-30,Limb-Muscle_skeletal muscle satellite cell,0.317538994
Msc,-0.316380087,6.65E-30,Limb-Muscle_skeletal muscle satellite cell,0.316380087
Birc3,0.316058695,7.64E-30,Limb-Muscle_skeletal muscle satellite cell,0.316058695
Gar1,-0.315356058,1.04E-29,Limb-Muscle_skeletal muscle satellite cell,0.315356058
Rpl10a,0.314548472,1.47E-29,Limb-Muscle_skeletal muscle satellite cell,0.314548472
Nr1d1,-0.313841255,1.99E-29,Limb-Muscle_skeletal muscle satellite cell,0.313841255
Serpinh1,-0.313645469,2.16E-29,Limb-Muscle_skeletal muscle satellite cell,0.313645469
Dbp,-0.308620335,1.83E-28,Limb-Muscle_skeletal muscle satellite cell,0.308620335
Hspa5,0.308191676,2.19E-28,Limb-Muscle_skeletal muscle satellite cell,0.308191676
Naca,0.307417915,3.03E-28,Limb-Muscle_skeletal muscle satellite cell,0.307417915
Sox11,-0.307041814,3.54E-28,Limb-Muscle_skeletal muscle satellite cell,0.307041814
Lmna,0.306645721,4.18E-28,Limb-Muscle_skeletal muscle satellite cell,0.306645721
Gnas,0.306616918,4.23E-28,Limb-Muscle_skeletal muscle satellite cell,0.306616918
Rpl12,0.30325714,1.70E-27,Limb-Muscle_skeletal muscle satellite cell,0.30325714
Gstm1,0.300289124,5.75E-27,Limb-Muscle_skeletal muscle satellite cell,0.300289124
Rian,-0.298458326,1.21E-26,Limb-Muscle_skeletal muscle satellite cell,0.298458326
Rpl7a,0.298314213,1.28E-26,Limb-Muscle_skeletal muscle satellite cell,0.298314213
Gbp2,0.29818031,1.35E-26,Limb-Muscle_skeletal muscle satellite cell,0.29818031
Atp5g1,-0.296254406,2.93E-26,Limb-Muscle_skeletal muscle satellite cell,0.296254406
Emid2,-0.293240501,9.75E-26,Limb-Muscle_skeletal muscle satellite cell,0.293240501
Pnp,0.293102452,1.03E-25,Limb-Muscle_skeletal muscle satellite cell,0.293102452
Emd,0.292825273,1.15E-25,Limb-Muscle_skeletal muscle satellite cell,0.292825273
Gamt,-0.292003158,1.59E-25,Limb-Muscle_skeletal muscle satellite cell,0.292003158
Ptpla,-0.291788962,1.73E-25,Limb-Muscle_skeletal muscle satellite cell,0.291788962
Tomm5,-0.290543787,2.82E-25,Limb-Muscle_skeletal muscle satellite cell,0.290543787
Eef2,0.290511293,2.86E-25,Limb-Muscle_skeletal muscle satellite cell,0.290511293
Ndufb5,-0.288106837,7.29E-25,Limb-Muscle_skeletal muscle satellite cell,0.288106837
Ier3,0.286561203,1.33E-24,Limb-Muscle_skeletal muscle satellite cell,0.286561203
Jund,0.28649671,1.36E-24,Limb-Muscle_skeletal muscle satellite cell,0.28649671
Slc10a6,0.286142336,1.56E-24,Limb-Muscle_skeletal muscle satellite cell,0.286142336
Isg20,0.285079415,2.34E-24,Limb-Muscle_skeletal muscle satellite cell,0.285079415
A130040M12Rik,0.284250005,3.22E-24,Limb-Muscle_skeletal muscle satellite cell,0.284250005
Eef1a1,0.282343795,6.65E-24,Limb-Muscle_skeletal muscle satellite cell,0.282343795
Ftl1,0.282168327,7.11E-24,Limb-Muscle_skeletal muscle satellite cell,0.282168327
Rplp0,0.282056282,7.41E-24,Limb-Muscle_skeletal muscle satellite cell,0.282056282
Tmem176b,0.279171016,2.20E-23,Limb-Muscle_skeletal muscle satellite cell,0.279171016
Eif4ebp1,-0.277786944,3.68E-23,Limb-Muscle_skeletal muscle satellite cell,0.277786944
Maff,0.27732561,4.37E-23,Limb-Muscle_skeletal muscle satellite cell,0.27732561
Zfp36l1,0.27711181,4.73E-23,Limb-Muscle_skeletal muscle satellite cell,0.27711181
Spock3,0.275540209,8.46E-23,Limb-Muscle_skeletal muscle satellite cell,0.275540209
Mmp2,-0.272541056,2.54E-22,Limb-Muscle_skeletal muscle satellite cell,0.272541056
C1qtnf6,-0.272315512,2.75E-22,Limb-Muscle_skeletal muscle satellite cell,0.272315512
2810405K02Rik,-0.272191784,2.88E-22,Limb-Muscle_skeletal muscle satellite cell,0.272191784
Cebpb,0.2717741,3.35E-22,Limb-Muscle_skeletal muscle satellite cell,0.2717741
1810020D17Rik,-0.270915513,4.57E-22,Limb-Muscle_skeletal muscle satellite cell,0.270915513
Mrto4,-0.270388076,5.53E-22,Limb-Muscle_skeletal muscle satellite cell,0.270388076
Ankrd10,-0.269651357,7.21E-22,Limb-Muscle_skeletal muscle satellite cell,0.269651357
Tnfaip6,0.268495721,1.09E-21,Limb-Muscle_skeletal muscle satellite cell,0.268495721
Hdgf,-0.267436061,1.59E-21,Limb-Muscle_skeletal muscle satellite cell,0.267436061
Fosl2,0.266910263,1.92E-21,Limb-Muscle_skeletal muscle satellite cell,0.266910263
Col4a2,-0.266796622,2.00E-21,Limb-Muscle_skeletal muscle satellite cell,0.266796622
D0H4S114,-0.266125927,2.54E-21,Limb-Muscle_skeletal muscle satellite cell,0.266125927
Casp4,0.265719927,2.93E-21,Limb-Muscle_skeletal muscle satellite cell,0.265719927
Ccnl1,0.265212605,3.51E-21,Limb-Muscle_skeletal muscle satellite cell,0.265212605
Sdc4,0.265150011,3.58E-21,Limb-Muscle_skeletal muscle satellite cell,0.265150011
Gadd45b,0.264354406,4.74E-21,Limb-Muscle_skeletal muscle satellite cell,0.264354406
Cdk4,-0.263719571,5.93E-21,Limb-Muscle_skeletal muscle satellite cell,0.263719571
Ndufa4,-0.263409902,6.61E-21,Limb-Muscle_skeletal muscle satellite cell,0.263409902
Dap,-0.263151835,7.23E-21,Limb-Muscle_skeletal muscle satellite cell,0.263151835
Odc1,0.262842097,8.06E-21,Limb-Muscle_skeletal muscle satellite cell,0.262842097
C1qbp,-0.262694964,8.48E-21,Limb-Muscle_skeletal muscle satellite cell,0.262694964
Tpm3,0.260887889,1.59E-20,Limb-Muscle_skeletal muscle satellite cell,0.260887889
Dlk1,-0.260313564,1.94E-20,Limb-Muscle_skeletal muscle satellite cell,0.260313564
Glrx5,-0.260199655,2.02E-20,Limb-Muscle_skeletal muscle satellite cell,0.260199655
Capns1,-0.259985025,2.17E-20,Limb-Muscle_skeletal muscle satellite cell,0.259985025
Gabarap,0.25940886,2.65E-20,Limb-Muscle_skeletal muscle satellite cell,0.25940886
Dag1,-0.259073636,2.97E-20,Limb-Muscle_skeletal muscle satellite cell,0.259073636
Rnf187,-0.258950062,3.10E-20,Limb-Muscle_skeletal muscle satellite cell,0.258950062
Psma5,-0.258925923,3.13E-20,Limb-Muscle_skeletal muscle satellite cell,0.258925923
Cryab,-0.258115462,4.13E-20,Limb-Muscle_skeletal muscle satellite cell,0.258115462
Atp5g2,-0.257836831,4.54E-20,Limb-Muscle_skeletal muscle satellite cell,0.257836831
Atp5o,-0.257802719,4.60E-20,Limb-Muscle_skeletal muscle satellite cell,0.257802719
Capn6,-0.257405552,5.27E-20,Limb-Muscle_skeletal muscle satellite cell,0.257405552
Lsm6,-0.256690453,6.72E-20,Limb-Muscle_skeletal muscle satellite cell,0.256690453
Serf1,-0.256655335,6.80E-20,Limb-Muscle_skeletal muscle satellite cell,0.256655335
Sdhd,-0.25591727,8.74E-20,Limb-Muscle_skeletal muscle satellite cell,0.25591727
Cops5,-0.255469341,1.02E-19,Limb-Muscle_skeletal muscle satellite cell,0.255469341
Rpl5,0.254977525,1.20E-19,Limb-Muscle_skeletal muscle satellite cell,0.254977525
Ccnd1,-0.254772683,1.29E-19,Limb-Muscle_skeletal muscle satellite cell,0.254772683
Ndufs6,-0.253768057,1.80E-19,Limb-Muscle_skeletal muscle satellite cell,0.253768057
Arl4c,-0.253148776,2.22E-19,Limb-Muscle_skeletal muscle satellite cell,0.253148776
Itga7,-0.252865183,2.44E-19,Limb-Muscle_skeletal muscle satellite cell,0.252865183
Rpl27,0.251982049,3.28E-19,Limb-Muscle_skeletal muscle satellite cell,0.251982049
Gde1,-0.251636373,3.68E-19,Limb-Muscle_skeletal muscle satellite cell,0.251636373
Dkc1,-0.251357086,4.04E-19,Limb-Muscle_skeletal muscle satellite cell,0.251357086
Josd2,-0.250567944,5.24E-19,Limb-Muscle_skeletal muscle satellite cell,0.250567944
Srm,-0.249184244,8.28E-19,Limb-Muscle_skeletal muscle satellite cell,0.249184244
Pfn1,-0.249150163,8.37E-19,Limb-Muscle_skeletal muscle satellite cell,0.249150163
Fkbp1a,-0.249051436,8.65E-19,Limb-Muscle_skeletal muscle satellite cell,0.249051436
Rpl15,0.248581557,1.01E-18,Limb-Muscle_skeletal muscle satellite cell,0.248581557
Tsc22d3,-0.248516298,1.03E-18,Limb-Muscle_skeletal muscle satellite cell,0.248516298
Sqstm1,0.247519341,1.43E-18,Limb-Muscle_skeletal muscle satellite cell,0.247519341
Sec61b,-0.247228452,1.57E-18,Limb-Muscle_skeletal muscle satellite cell,0.247228452
Sbno2,0.247225703,1.57E-18,Limb-Muscle_skeletal muscle satellite cell,0.247225703
Aldh2,0.247157412,1.61E-18,Limb-Muscle_skeletal muscle satellite cell,0.247157412
Serf2,-0.247009307,1.69E-18,Limb-Muscle_skeletal muscle satellite cell,0.247009307
Akap2,0.24686915,1.77E-18,Limb-Muscle_skeletal muscle satellite cell,0.24686915
Ndufb6,-0.246370729,2.08E-18,Limb-Muscle_skeletal muscle satellite cell,0.246370729
Nudcd2,-0.246116775,2.26E-18,Limb-Muscle_skeletal muscle satellite cell,0.246116775
Isg15,0.245863057,2.45E-18,Limb-Muscle_skeletal muscle satellite cell,0.245863057
Fosb,0.244680659,3.59E-18,Limb-Muscle_skeletal muscle satellite cell,0.244680659
Taf9,-0.243311338,5.58E-18,Limb-Muscle_skeletal muscle satellite cell,0.243311338
Phb2,-0.243259881,5.67E-18,Limb-Muscle_skeletal muscle satellite cell,0.243259881
Spg21,-0.242921133,6.32E-18,Limb-Muscle_skeletal muscle satellite cell,0.242921133
Gem,0.242811434,6.55E-18,Limb-Muscle_skeletal muscle satellite cell,0.242811434
Bax,-0.241837304,8.94E-18,Limb-Muscle_skeletal muscle satellite cell,0.241837304
1110038B12Rik,-0.241809694,9.01E-18,Limb-Muscle_skeletal muscle satellite cell,0.241809694
Glul,0.240870758,1.21E-17,Limb-Muscle_skeletal muscle satellite cell,0.240870758
Atp2a1,-0.240849754,1.22E-17,Limb-Muscle_skeletal muscle satellite cell,0.240849754
Rtn2,-0.240526963,1.35E-17,Limb-Muscle_skeletal muscle satellite cell,0.240526963
Hdgfrp2,-0.24051681,1.36E-17,Limb-Muscle_skeletal muscle satellite cell,0.24051681
Col5a2,-0.23983616,1.68E-17,Limb-Muscle_skeletal muscle satellite cell,0.23983616
Tomm22,-0.239789378,1.71E-17,Limb-Muscle_skeletal muscle satellite cell,0.239789378
Ypel3,-0.238683907,2.42E-17,Limb-Muscle_skeletal muscle satellite cell,0.238683907
Myog,-0.238637088,2.46E-17,Limb-Muscle_skeletal muscle satellite cell,0.238637088
Cox7b,-0.23841023,2.64E-17,Limb-Muscle_skeletal muscle satellite cell,0.23841023
Cdk2ap1,-0.237489934,3.52E-17,Limb-Muscle_skeletal muscle satellite cell,0.237489934
Rps27l,-0.236834729,4.32E-17,Limb-Muscle_skeletal muscle satellite cell,0.236834729
Fhl1,-0.236616422,4.62E-17,Limb-Muscle_skeletal muscle satellite cell,0.236616422
Timm23,-0.236567402,4.69E-17,Limb-Muscle_skeletal muscle satellite cell,0.236567402
Hsp90ab1,0.236497729,4.79E-17,Limb-Muscle_skeletal muscle satellite cell,0.236497729
Fam195b,-0.235773188,6.00E-17,Limb-Muscle_skeletal muscle satellite cell,0.235773188
1810006K21Rik,-0.235690073,6.16E-17,Limb-Muscle_skeletal muscle satellite cell,0.235690073
2400001E08Rik,-0.234905692,7.85E-17,Limb-Muscle_skeletal muscle satellite cell,0.234905692
Gbp5,0.234733856,8.27E-17,Limb-Muscle_skeletal muscle satellite cell,0.234733856
Uqcr10,-0.234566225,8.71E-17,Limb-Muscle_skeletal muscle satellite cell,0.234566225
Plekhb1,0.234184463,9.80E-17,Limb-Muscle_skeletal muscle satellite cell,0.234184463
Uqcrq,-0.234063254,1.02E-16,Limb-Muscle_skeletal muscle satellite cell,0.234063254
Tomm40,-0.233816935,1.10E-16,Limb-Muscle_skeletal muscle satellite cell,0.233816935
Phb,-0.233754812,1.12E-16,Limb-Muscle_skeletal muscle satellite cell,0.233754812
P4hb,-0.233480998,1.22E-16,Limb-Muscle_skeletal muscle satellite cell,0.233480998
Anp32b,-0.233471883,1.22E-16,Limb-Muscle_skeletal muscle satellite cell,0.233471883
Mtch2,-0.232785751,1.50E-16,Limb-Muscle_skeletal muscle satellite cell,0.232785751
Nedd8,-0.232732777,1.53E-16,Limb-Muscle_skeletal muscle satellite cell,0.232732777
Pdap1,-0.232689932,1.55E-16,Limb-Muscle_skeletal muscle satellite cell,0.232689932
Atp5c1,-0.23231509,1.74E-16,Limb-Muscle_skeletal muscle satellite cell,0.23231509
Srsf6,-0.232091414,1.86E-16,Limb-Muscle_skeletal muscle satellite cell,0.232091414
Mrp63,-0.231899652,1.97E-16,Limb-Muscle_skeletal muscle satellite cell,0.231899652
Mrpl20,-0.231753662,2.06E-16,Limb-Muscle_skeletal muscle satellite cell,0.231753662
Chrna1,-0.23174768,2.06E-16,Limb-Muscle_skeletal muscle satellite cell,0.23174768
Lage3,-0.231739009,2.07E-16,Limb-Muscle_skeletal muscle satellite cell,0.231739009
Hsbp1,-0.230698131,2.84E-16,Limb-Muscle_skeletal muscle satellite cell,0.230698131
Ppp1r14a,-0.230389247,3.11E-16,Limb-Muscle_skeletal muscle satellite cell,0.230389247
Phgdh,-0.230384987,3.12E-16,Limb-Muscle_skeletal muscle satellite cell,0.230384987
Qdpr,-0.229870428,3.64E-16,Limb-Muscle_skeletal muscle satellite cell,0.229870428
Minos1,-0.229670064,3.87E-16,Limb-Muscle_skeletal muscle satellite cell,0.229670064
Col5a1,-0.229590847,3.96E-16,Limb-Muscle_skeletal muscle satellite cell,0.229590847
Mbd3,-0.229217351,4.43E-16,Limb-Muscle_skeletal muscle satellite cell,0.229217351
Snrpe,-0.229013426,4.71E-16,Limb-Muscle_skeletal muscle satellite cell,0.229013426
Rpl22,0.228981886,4.76E-16,Limb-Muscle_skeletal muscle satellite cell,0.228981886
Csda,-0.228899478,4.88E-16,Limb-Muscle_skeletal muscle satellite cell,0.228899478
Ppp1ca,-0.22861165,5.32E-16,Limb-Muscle_skeletal muscle satellite cell,0.22861165
1810058I24Rik,-0.228446664,5.58E-16,Limb-Muscle_skeletal muscle satellite cell,0.228446664
Nol12,-0.227945227,6.49E-16,Limb-Muscle_skeletal muscle satellite cell,0.227945227
Pnrc1,0.227635101,7.12E-16,Limb-Muscle_skeletal muscle satellite cell,0.227635101
Metap2,-0.227392515,7.65E-16,Limb-Muscle_skeletal muscle satellite cell,0.227392515
Stat3,0.227180027,8.15E-16,Limb-Muscle_skeletal muscle satellite cell,0.227180027
B3gnt2,0.226891658,8.88E-16,Limb-Muscle_skeletal muscle satellite cell,0.226891658
Dbn1,-0.226701566,9.39E-16,Limb-Muscle_skeletal muscle satellite cell,0.226701566
Zfp706,-0.226684889,9.44E-16,Limb-Muscle_skeletal muscle satellite cell,0.226684889
Psmd7,-0.226447064,1.01E-15,Limb-Muscle_skeletal muscle satellite cell,0.226447064
0610012G03Rik,-0.226360704,1.04E-15,Limb-Muscle_skeletal muscle satellite cell,0.226360704
Kif21a,-0.226255138,1.07E-15,Limb-Muscle_skeletal muscle satellite cell,0.226255138
Ufm1,-0.226044579,1.14E-15,Limb-Muscle_skeletal muscle satellite cell,0.226044579
Nudt21,-0.225458058,1.36E-15,Limb-Muscle_skeletal muscle satellite cell,0.225458058
Nfic,-0.22541207,1.38E-15,Limb-Muscle_skeletal muscle satellite cell,0.22541207
Eif4a1,0.22531866,1.41E-15,Limb-Muscle_skeletal muscle satellite cell,0.22531866
Qk,-0.224970641,1.57E-15,Limb-Muscle_skeletal muscle satellite cell,0.224970641
Fas,0.224862396,1.62E-15,Limb-Muscle_skeletal muscle satellite cell,0.224862396
Tmed9,-0.224810723,1.64E-15,Limb-Muscle_skeletal muscle satellite cell,0.224810723
Pdcd5,-0.224768836,1.66E-15,Limb-Muscle_skeletal muscle satellite cell,0.224768836
Ndufa2,-0.224589442,1.75E-15,Limb-Muscle_skeletal muscle satellite cell,0.224589442
Ebna1bp2,-0.22456245,1.77E-15,Limb-Muscle_skeletal muscle satellite cell,0.22456245
Tac4,-0.224212272,1.96E-15,Limb-Muscle_skeletal muscle satellite cell,0.224212272
