,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Arhgef10l,0.106813879,1.11E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106813879
Tmem9b,-0.106796047,1.11E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106796047
Cfi,0.106739352,1.12E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106739352
E130215H24Rik,0.10673897,1.12E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10673897
Gaa,-0.106726533,1.13E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106726533
Ndufa8,-0.106679119,1.14E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106679119
Mettl10,0.106598355,1.16E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106598355
Esrra,-0.106490108,1.19E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106490108
Mlxipl,-0.106411007,1.21E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106411007
Ddr1,-0.106383017,1.22E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106383017
Plekha1,0.106360347,1.23E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106360347
Fam96b,-0.106288756,1.25E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106288756
Gmpr,-0.10627899,1.25E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10627899
Cdc26,0.106273411,1.25E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106273411
Prcp,-0.106236279,1.26E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106236279
Usp20,-0.106214191,1.27E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106214191
1600012F09Rik,0.106125492,1.30E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106125492
Ift74,0.106074458,1.31E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.106074458
Hoxa9,0.10598356,1.34E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10598356
Pex16,-0.105817079,1.39E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105817079
Dld,-0.105798112,1.40E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105798112
Cfl1,0.105618108,1.46E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105618108
Myh14,-0.105591463,1.47E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105591463
