,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Cyp2d12,0.632801082,4.10E-232,Kidney_kidney proximal convoluted tubule epithelial cell,0.632801082
Slc5a10,-0.625696072,1.85E-225,Kidney_kidney proximal convoluted tubule epithelial cell,0.625696072
Slc22a6,-0.551781962,2.41E-165,Kidney_kidney proximal convoluted tubule epithelial cell,0.551781962
Apob,0.540850794,1.10E-157,Kidney_kidney proximal convoluted tubule epithelial cell,0.540850794
Clec2h,0.529516322,4.88E-150,Kidney_kidney proximal convoluted tubule epithelial cell,0.529516322
Cyp4a10,-0.522924283,1.01E-145,Kidney_kidney proximal convoluted tubule epithelial cell,0.522924283
Pck1,-0.497026665,1.18E-129,Kidney_kidney proximal convoluted tubule epithelial cell,0.497026665
Atp1a1,-0.493654562,1.15E-127,Kidney_kidney proximal convoluted tubule epithelial cell,0.493654562
Cyp4a14,-0.490786982,5.48E-126,Kidney_kidney proximal convoluted tubule epithelial cell,0.490786982
Ccnd1,0.490746386,5.78E-126,Kidney_kidney proximal convoluted tubule epithelial cell,0.490746386
Slc5a8,-0.488665733,9.29E-125,Kidney_kidney proximal convoluted tubule epithelial cell,0.488665733
Npl,0.479176329,2.32E-119,Kidney_kidney proximal convoluted tubule epithelial cell,0.479176329
D14Ertd449e,0.463280692,1.08E-110,Kidney_kidney proximal convoluted tubule epithelial cell,0.463280692
Ifi27l1,0.460888798,1.98E-109,Kidney_kidney proximal convoluted tubule epithelial cell,0.460888798
Ces1d,-0.459463008,1.11E-108,Kidney_kidney proximal convoluted tubule epithelial cell,0.459463008
Nudt19,-0.457107399,1.89E-107,Kidney_kidney proximal convoluted tubule epithelial cell,0.457107399
Beta-s,0.456445191,4.18E-107,Kidney_kidney proximal convoluted tubule epithelial cell,0.456445191
Snhg11,0.452834677,3.04E-105,Kidney_kidney proximal convoluted tubule epithelial cell,0.452834677
Cyp4a31,-0.451194198,2.10E-104,Kidney_kidney proximal convoluted tubule epithelial cell,0.451194198
Slc13a3,-0.446502411,4.97E-102,Kidney_kidney proximal convoluted tubule epithelial cell,0.446502411
Slc22a2,-0.436842906,2.94E-97,Kidney_kidney proximal convoluted tubule epithelial cell,0.436842906
BC089597,-0.436201421,6.03E-97,Kidney_kidney proximal convoluted tubule epithelial cell,0.436201421
Spns3,0.430241025,4.39E-94,Kidney_kidney proximal convoluted tubule epithelial cell,0.430241025
Cyp24a1,0.429205484,1.36E-93,Kidney_kidney proximal convoluted tubule epithelial cell,0.429205484
Ftl1,0.428397303,3.29E-93,Kidney_kidney proximal convoluted tubule epithelial cell,0.428397303
Atp11a,-0.417858894,2.56E-88,Kidney_kidney proximal convoluted tubule epithelial cell,0.417858894
Slc5a12,0.412217546,9.03E-86,Kidney_kidney proximal convoluted tubule epithelial cell,0.412217546
Cml1,-0.411206163,2.55E-85,Kidney_kidney proximal convoluted tubule epithelial cell,0.411206163
Ggt1,-0.410969748,3.26E-85,Kidney_kidney proximal convoluted tubule epithelial cell,0.410969748
Tnfrsf21,-0.410003084,8.76E-85,Kidney_kidney proximal convoluted tubule epithelial cell,0.410003084
Dbp,-0.407152039,1.59E-83,Kidney_kidney proximal convoluted tubule epithelial cell,0.407152039
Mep1a,-0.403787647,4.70E-82,Kidney_kidney proximal convoluted tubule epithelial cell,0.403787647
Ugt2b38,-0.400182948,1.70E-80,Kidney_kidney proximal convoluted tubule epithelial cell,0.400182948
Cd74,0.399226265,4.36E-80,Kidney_kidney proximal convoluted tubule epithelial cell,0.399226265
Slc27a2,-0.397130799,3.41E-79,Kidney_kidney proximal convoluted tubule epithelial cell,0.397130799
Acy3,-0.394298857,5.36E-78,Kidney_kidney proximal convoluted tubule epithelial cell,0.394298857
Ugt2b37,-0.39376945,8.95E-78,Kidney_kidney proximal convoluted tubule epithelial cell,0.39376945
Slc25a10,-0.392799255,2.28E-77,Kidney_kidney proximal convoluted tubule epithelial cell,0.392799255
Slc6a18,-0.39090964,1.40E-76,Kidney_kidney proximal convoluted tubule epithelial cell,0.39090964
Enpp2,-0.386886609,6.42E-75,Kidney_kidney proximal convoluted tubule epithelial cell,0.386886609
Ugt3a1,-0.378709154,1.30E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.378709154
Timd2,0.378442616,1.65E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.378442616
Hsd3b4,-0.37842732,1.68E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.37842732
Tcn2,-0.376611962,8.81E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.376611962
Ndrg1,0.372845814,2.66E-69,Kidney_kidney proximal convoluted tubule epithelial cell,0.372845814
Apoe,0.371957421,5.90E-69,Kidney_kidney proximal convoluted tubule epithelial cell,0.371957421
Ly6a,-0.371233466,1.13E-68,Kidney_kidney proximal convoluted tubule epithelial cell,0.371233466
Pisd-ps3,0.368731521,1.04E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.368731521
Slc13a2,-0.368556121,1.22E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.368556121
Slc5a1,-0.368218778,1.64E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.368218778
Cdh16,-0.36821759,1.65E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.36821759
Ypel2,0.363374157,1.15E-65,Kidney_kidney proximal convoluted tubule epithelial cell,0.363374157
Gss,-0.363293079,1.23E-65,Kidney_kidney proximal convoluted tubule epithelial cell,0.363293079
Por,-0.361419644,6.24E-65,Kidney_kidney proximal convoluted tubule epithelial cell,0.361419644
Inmt,-0.354670879,1.97E-62,Kidney_kidney proximal convoluted tubule epithelial cell,0.354670879
Hsd17b11,-0.351942156,1.93E-61,Kidney_kidney proximal convoluted tubule epithelial cell,0.351942156
Csrp2,-0.34954506,1.42E-60,Kidney_kidney proximal convoluted tubule epithelial cell,0.34954506
Slc17a1,-0.348455057,3.48E-60,Kidney_kidney proximal convoluted tubule epithelial cell,0.348455057
Gls,-0.348415146,3.60E-60,Kidney_kidney proximal convoluted tubule epithelial cell,0.348415146
Rbm3,0.345779322,3.12E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.345779322
Hmgcs2,-0.344694046,7.54E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.344694046
Ak4,-0.344677884,7.64E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.344677884
Hmgcs1,-0.34462897,7.95E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.34462897
Gatm,0.344100103,1.22E-58,Kidney_kidney proximal convoluted tubule epithelial cell,0.344100103
Ech1,-0.341333805,1.14E-57,Kidney_kidney proximal convoluted tubule epithelial cell,0.341333805
Ethe1,0.337049012,3.44E-56,Kidney_kidney proximal convoluted tubule epithelial cell,0.337049012
Slc6a13,-0.335062191,1.64E-55,Kidney_kidney proximal convoluted tubule epithelial cell,0.335062191
Ggct,-0.33347915,5.66E-55,Kidney_kidney proximal convoluted tubule epithelial cell,0.33347915
Sectm1b,0.333281125,6.60E-55,Kidney_kidney proximal convoluted tubule epithelial cell,0.333281125
Slc17a3,-0.331583544,2.47E-54,Kidney_kidney proximal convoluted tubule epithelial cell,0.331583544
Agps,-0.330529038,5.57E-54,Kidney_kidney proximal convoluted tubule epithelial cell,0.330529038
Spnb2,-0.329566979,1.17E-53,Kidney_kidney proximal convoluted tubule epithelial cell,0.329566979
Vill,-0.327528529,5.55E-53,Kidney_kidney proximal convoluted tubule epithelial cell,0.327528529
Abca3,-0.327170416,7.29E-53,Kidney_kidney proximal convoluted tubule epithelial cell,0.327170416
Cyp2d26,-0.324711918,4.70E-52,Kidney_kidney proximal convoluted tubule epithelial cell,0.324711918
Rplp0,0.324176705,7.03E-52,Kidney_kidney proximal convoluted tubule epithelial cell,0.324176705
Fgg,0.322582881,2.32E-51,Kidney_kidney proximal convoluted tubule epithelial cell,0.322582881
Rnf186,0.3219219,3.81E-51,Kidney_kidney proximal convoluted tubule epithelial cell,0.3219219
Serpinf2,-0.321596095,4.86E-51,Kidney_kidney proximal convoluted tubule epithelial cell,0.321596095
Erp29,-0.319970522,1.62E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.319970522
Ass1,0.319561571,2.20E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.319561571
G6pc,0.318411395,5.14E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.318411395
Cndp2,-0.317884697,7.57E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.317884697
Gm11128,-0.317383771,1.09E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.317383771
Papss2,-0.315925531,3.18E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.315925531
H2-Ab1,0.31587283,3.30E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.31587283
Pde1a,0.315197434,5.40E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.315197434
D4Wsu53e,0.314683582,7.84E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.314683582
Comt,0.314449469,9.29E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.314449469
Retsat,-0.31416527,1.14E-48,Kidney_kidney proximal convoluted tubule epithelial cell,0.31416527
Atp1b1,-0.314024382,1.26E-48,Kidney_kidney proximal convoluted tubule epithelial cell,0.314024382
Pth1r,-0.313908866,1.37E-48,Kidney_kidney proximal convoluted tubule epithelial cell,0.313908866
Eci3,-0.310946172,1.16E-47,Kidney_kidney proximal convoluted tubule epithelial cell,0.310946172
Slc7a7,0.308094405,8.81E-47,Kidney_kidney proximal convoluted tubule epithelial cell,0.308094405
Rcan1,0.308005126,9.38E-47,Kidney_kidney proximal convoluted tubule epithelial cell,0.308005126
Entpd5,-0.307407515,1.43E-46,Kidney_kidney proximal convoluted tubule epithelial cell,0.307407515
Fitm1,-0.304343133,1.23E-45,Kidney_kidney proximal convoluted tubule epithelial cell,0.304343133
Slc22a12,-0.303030977,3.06E-45,Kidney_kidney proximal convoluted tubule epithelial cell,0.303030977
Cyp2j11,-0.299163933,4.38E-44,Kidney_kidney proximal convoluted tubule epithelial cell,0.299163933
Etv1,0.298315663,7.81E-44,Kidney_kidney proximal convoluted tubule epithelial cell,0.298315663
Neat1,0.297333966,1.52E-43,Kidney_kidney proximal convoluted tubule epithelial cell,0.297333966
Acaa1b,-0.295481546,5.32E-43,Kidney_kidney proximal convoluted tubule epithelial cell,0.295481546
Epb4.1l3,0.29494485,7.64E-43,Kidney_kidney proximal convoluted tubule epithelial cell,0.29494485
Scrn2,-0.294856617,8.10E-43,Kidney_kidney proximal convoluted tubule epithelial cell,0.294856617
Camk2n1,0.294694083,9.04E-43,Kidney_kidney proximal convoluted tubule epithelial cell,0.294694083
Htra1,-0.293570001,1.92E-42,Kidney_kidney proximal convoluted tubule epithelial cell,0.293570001
Dak,-0.293458763,2.07E-42,Kidney_kidney proximal convoluted tubule epithelial cell,0.293458763
Glb1,-0.291996563,5.47E-42,Kidney_kidney proximal convoluted tubule epithelial cell,0.291996563
Dio1,-0.291691195,6.70E-42,Kidney_kidney proximal convoluted tubule epithelial cell,0.291691195
Tmbim6,-0.290507318,1.47E-41,Kidney_kidney proximal convoluted tubule epithelial cell,0.290507318
Aldh1l1,-0.288382814,5.92E-41,Kidney_kidney proximal convoluted tubule epithelial cell,0.288382814
Aass,-0.28821565,6.60E-41,Kidney_kidney proximal convoluted tubule epithelial cell,0.28821565
Sema3c,-0.286475075,2.05E-40,Kidney_kidney proximal convoluted tubule epithelial cell,0.286475075
Sult1d1,-0.284405998,7.82E-40,Kidney_kidney proximal convoluted tubule epithelial cell,0.284405998
Pnrc1,0.281656499,4.54E-39,Kidney_kidney proximal convoluted tubule epithelial cell,0.281656499
Cpeb4,0.280515057,9.38E-39,Kidney_kidney proximal convoluted tubule epithelial cell,0.280515057
Hist1h1c,0.280368475,1.03E-38,Kidney_kidney proximal convoluted tubule epithelial cell,0.280368475
Cyr61,0.279876712,1.40E-38,Kidney_kidney proximal convoluted tubule epithelial cell,0.279876712
Cenpb,-0.27946223,1.82E-38,Kidney_kidney proximal convoluted tubule epithelial cell,0.27946223
Mpv17l,-0.279183923,2.17E-38,Kidney_kidney proximal convoluted tubule epithelial cell,0.279183923
Col4a3,-0.277912854,4.83E-38,Kidney_kidney proximal convoluted tubule epithelial cell,0.277912854
Ehhadh,-0.277878618,4.94E-38,Kidney_kidney proximal convoluted tubule epithelial cell,0.277878618
Sod3,-0.277150421,7.79E-38,Kidney_kidney proximal convoluted tubule epithelial cell,0.277150421
Pcx,-0.275903594,1.69E-37,Kidney_kidney proximal convoluted tubule epithelial cell,0.275903594
Ces1f,-0.274509027,4.02E-37,Kidney_kidney proximal convoluted tubule epithelial cell,0.274509027
Ace,-0.273997877,5.51E-37,Kidney_kidney proximal convoluted tubule epithelial cell,0.273997877
Slco3a1,-0.272947338,1.05E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.272947338
Akap2,0.272410768,1.46E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.272410768
Mogat1,-0.271894415,2.00E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.271894415
Gyk,-0.271152124,3.15E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.271152124
Lrpap1,-0.270248985,5.46E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.270248985
Cyp2e1,-0.269988568,6.39E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.269988568
Gc,0.269525047,8.46E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.269525047
Tmigd1,-0.269441089,8.90E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.269441089
Napsa,-0.269420795,9.01E-36,Kidney_kidney proximal convoluted tubule epithelial cell,0.269420795
Mafg,0.267927574,2.22E-35,Kidney_kidney proximal convoluted tubule epithelial cell,0.267927574
Acss1,0.267914119,2.23E-35,Kidney_kidney proximal convoluted tubule epithelial cell,0.267914119
Akr1a1,0.267175163,3.48E-35,Kidney_kidney proximal convoluted tubule epithelial cell,0.267175163
Nudt8,-0.266894676,4.12E-35,Kidney_kidney proximal convoluted tubule epithelial cell,0.266894676
Id1,-0.266485885,5.26E-35,Kidney_kidney proximal convoluted tubule epithelial cell,0.266485885
Gsta3,0.26607944,6.70E-35,Kidney_kidney proximal convoluted tubule epithelial cell,0.26607944
Irx3,-0.265932612,7.31E-35,Kidney_kidney proximal convoluted tubule epithelial cell,0.265932612
Pdp2,0.264633938,1.58E-34,Kidney_kidney proximal convoluted tubule epithelial cell,0.264633938
Maf,0.263177485,3.74E-34,Kidney_kidney proximal convoluted tubule epithelial cell,0.263177485
Obfc2a,0.263061797,4.00E-34,Kidney_kidney proximal convoluted tubule epithelial cell,0.263061797
Rpl10,0.261556117,9.68E-34,Kidney_kidney proximal convoluted tubule epithelial cell,0.261556117
Cat,-0.261076237,1.28E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.261076237
Rnase4,0.260980021,1.36E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.260980021
Reep5,-0.26070074,1.59E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.26070074
ORF61,-0.260139791,2.21E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.260139791
Tef,-0.258557963,5.52E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.258557963
Galnt11,-0.258012999,7.56E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.258012999
Furin,-0.257631128,9.42E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.257631128
Actg1,0.257569785,9.76E-33,Kidney_kidney proximal convoluted tubule epithelial cell,0.257569785
Slc19a1,-0.25720758,1.20E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.25720758
Sod1,-0.256845514,1.48E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.256845514
Tmem174,-0.256726257,1.58E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.256726257
App,-0.256661352,1.64E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.256661352
Slc22a1,-0.256179738,2.16E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.256179738
Sgpp1,-0.255720083,2.81E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.255720083
Pank1,-0.254768462,4.83E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.254768462
Slc34a3,0.254345153,6.14E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.254345153
Utp20,-0.254306666,6.28E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.254306666
Atxn1,0.254114179,7.00E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.254114179
Gpd2,-0.254079001,7.14E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.254079001
Aco2,-0.253753815,8.59E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.253753815
Irgm1,0.253585677,9.44E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.253585677
Txnip,-0.253532415,9.73E-32,Kidney_kidney proximal convoluted tubule epithelial cell,0.253532415
Aqp1,-0.253465279,1.01E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.253465279
D630023F18Rik,0.2526459,1.60E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.2526459
Arpp19,-0.251651366,2.80E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.251651366
Lpl,-0.251380831,3.26E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.251380831
Spsb4,0.250807999,4.49E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.250807999
S100g,-0.250317473,5.90E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.250317473
Rps4x,0.250236986,6.17E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.250236986
Rpl9,0.249482762,9.37E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.249482762
Tceal8,0.249415047,9.73E-31,Kidney_kidney proximal convoluted tubule epithelial cell,0.249415047
Uqcrc1,-0.248815494,1.36E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.248815494
Rnf183,0.248772487,1.39E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.248772487
Got2,-0.248173164,1.93E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.248173164
3300005D01Rik,0.248057224,2.06E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.248057224
Cth,-0.248036615,2.08E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.248036615
1500003O03Rik,-0.246959396,3.77E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.246959396
Ddt,0.246834959,4.03E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.246834959
Cxcl16,0.246326947,5.33E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.246326947
ORF63,-0.246318187,5.35E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.246318187
Ttc36,-0.246246058,5.57E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.246246058
Tmem189,-0.245970847,6.47E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.245970847
Sepp1,0.245870433,6.83E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.245870433
Galns,-0.245513009,8.30E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.245513009
Malat1,0.245268703,9.48E-30,Kidney_kidney proximal convoluted tubule epithelial cell,0.245268703
Tmem176a,-0.244889118,1.17E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.244889118
Clptm1,-0.24393953,1.95E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.24393953
Enpep,-0.243822702,2.08E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.243822702
Ugt3a2,-0.243416882,2.59E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.243416882
Tmem86a,-0.243382012,2.64E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.243382012
Ppib,-0.243239704,2.85E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.243239704
Cnn3,0.243230915,2.86E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.243230915
Acsm2,-0.242494293,4.25E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.242494293
Cdo1,-0.242357043,4.57E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.242357043
Anpep,-0.242126351,5.18E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.242126351
Fabp3,0.241643736,6.70E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.241643736
AI317395,-0.241317893,7.98E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.241317893
Wdfy1,-0.241234331,8.34E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.241234331
Calr,-0.241131693,8.81E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.241131693
Mocs2,0.241103795,8.95E-29,Kidney_kidney proximal convoluted tubule epithelial cell,0.241103795
Pcdh17,-0.240622443,1.16E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.240622443
Rnasek,-0.240489979,1.24E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.240489979
Fchsd1,0.240470135,1.25E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.240470135
Cela1,0.24040719,1.30E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.24040719
Hsp90b1,-0.24036508,1.33E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.24036508
Rtn4,0.240233427,1.42E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.240233427
Rps23,0.23998789,1.62E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.23998789
Nhp2,-0.23992818,1.67E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.23992818
Chka,0.239017102,2.71E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.239017102
Aspg,-0.238709048,3.19E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.238709048
C4b,0.237854017,5.00E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.237854017
Acadvl,-0.23752649,5.94E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.23752649
Egf,-0.237353686,6.51E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.237353686
Rps9,0.237186276,7.10E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.237186276
Rdh16,-0.236912735,8.20E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.236912735
Id2,0.236892627,8.29E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.236892627
Slc43a2,0.236612698,9.59E-28,Kidney_kidney proximal convoluted tubule epithelial cell,0.236612698
Pdxk,-0.236433155,1.05E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.236433155
Susd3,-0.236316146,1.12E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.236316146
9530008L14Rik,-0.236307539,1.12E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.236307539
Arvcf,0.235658361,1.58E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.235658361
Palm3,0.234847952,2.40E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.234847952
Fabp7,0.233863356,4.00E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.233863356
Fam195a,-0.23377404,4.19E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.23377404
Slc52a3,-0.233658103,4.45E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.233658103
Rogdi,-0.232884417,6.62E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.232884417
Acox2,-0.232636716,7.52E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.232636716
Slc25a25,-0.232602522,7.65E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.232602522
Ucp2,-0.232593122,7.69E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.232593122
Rpl6,0.232437386,8.33E-27,Kidney_kidney proximal convoluted tubule epithelial cell,0.232437386
Pmepa1,-0.231965097,1.06E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231965097
Mgst1,0.231936078,1.08E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231936078
Faah,-0.231934926,1.08E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231934926
Hist1h4i,0.231920649,1.09E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231920649
Wfdc15b,-0.231689058,1.22E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231689058
Rps13,0.231469162,1.37E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231469162
Fah,-0.231403371,1.41E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231403371
Arl4a,0.231319334,1.48E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.231319334
Gpx1,0.230278856,2.50E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.230278856
8430408G22Rik,0.230101733,2.74E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.230101733
Cd9,-0.228959013,4.88E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.228959013
Rps7,0.228707845,5.54E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.228707845
Cxxc5,0.228570981,5.94E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.228570981
Pla2g5,0.228543618,6.02E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.228543618
9530068E07Rik,-0.228141499,7.37E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.228141499
Adap2,0.227998125,7.92E-26,Kidney_kidney proximal convoluted tubule epithelial cell,0.227998125
Pmaip1,0.227399064,1.07E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.227399064
Cdkn2c,0.22725985,1.15E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.22725985
Gnpda1,0.227203549,1.18E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.227203549
Gstm1,-0.226744278,1.48E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.226744278
Hexa,0.226570084,1.62E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.226570084
H2-Eb1,0.226417253,1.75E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.226417253
Itgav,-0.22626302,1.88E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.22626302
Zfp36l1,0.226184788,1.96E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.226184788
Gabarapl1,0.224781712,3.93E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.224781712
Stard10,-0.224775641,3.94E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.224775641
Usp2,-0.224587477,4.32E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.224587477
Slc39a5,-0.223728421,6.60E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.223728421
Ctsh,-0.223434556,7.63E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.223434556
Ebp,-0.22327838,8.24E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.22327838
9030619P08Rik,-0.223108346,8.95E-25,Kidney_kidney proximal convoluted tubule epithelial cell,0.223108346
Hist1h2bc,0.22259829,1.15E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.22259829
Prpf4b,0.222499995,1.21E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.222499995
Hnf1b,-0.222442886,1.24E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.222442886
Serpinh1,-0.22219281,1.40E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.22219281
Acot12,-0.221388611,2.07E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.221388611
Gpd1,-0.221149637,2.33E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.221149637
Rufy3,0.220419548,3.32E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.220419548
Acadl,-0.220157623,3.76E-24,Kidney_kidney proximal convoluted tubule epithelial cell,0.220157623
