,Sum log-adjP-values,adjP-values,Category
Bpifb9a,-0.026706952769516935,[0.9403576180579059],['Brain_microglial cell']
Sohlh1,-0.026706952769516935,[0.9403576180579059],['Brain_microglial cell']
Vax2os2,-0.02430606721663593,"[0.988068222482002, 0.9569891208953]","['Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell']"
Olfr120,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Smok2b,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Trpc7,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
1700111N16Rik,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Gm10280,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Serpinb3b,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Vmn2r51,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Vmn1r77,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Gm12253,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
4933428C19Rik,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Ptchd3,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Vmn2r19,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Olfr473,-0.023061192599232037,[0.9482848394469093],['Brain_microglial cell']
Rnf222,-0.017749505732776612,[0.9599541584180137],['Heart_endothelial cell of coronary artery']
D930032P07Rik,-0.017137389405674535,[0.9613081196855284],['Brain_microglial cell']
Synb,-0.01570749745280215,[0.9644783926963808],['Bone-Marrow_proerythroblast']
Avpr1b,-0.013730943559187142,[0.9688779147953872],['Brain_microglial cell']
4932414J04Rik,-0.005442370948632591,[0.9875466703429312],['Brain_microglial cell']
Olfr555,-0.0009996295893031355,[0.9977009147634446],['Brain_microglial cell']
Olfr1424,-0.0009996295893031355,[0.9977009147634446],['Brain_microglial cell']
