,R_squared
granulocytopoietic cell,0.1743640717750482
hematopoietic precursor cell,0.5105238533635345
granulocyte,0.6734860346374365
promonocyte,0.7275749636617206
monocyte,0.8869326780459018
naïve T cell,0.7268913198797967
megakaryocyte-erythroid progenitor cell,0.7290505171408519
proerythroblast,0.47074916796790295
erythroblast,0.9057886573700855
